ID,Address,Rooms,Type,Price,Date,Bathroom,Car,Landsize,Age,Lattitude,Longtitude
ID287159946,61 Heath St,3,h,1635000.0,23/09/2017,1.0,2.0,112.0,129.0,-37.83526,144.94423
ID769870288,6 Everest Ct,3,h,596000.0,16/09/2017,1.0,2.0,570.0,79.0,-37.66422,144.99893
ID394195882,310/330 Lygon St,2,u,445000.0,27/06/2016,1.0,1.0,0.0,119.0,-37.7685,144.9724
ID394283838,11/19 Wood St,2,u,587134.0,28/08/2016,1.0,1.0,0.0,49.0,-37.7976,144.9454
ID364197387,18 Watson St,4,h,2340000.0,13/05/2017,2.0,2.0,586.0,79.0,-37.8541,145.0738
ID701624675,1106/1 Clara St,1,u,450000.0,4/06/2016,1.0,1.0,0.0,15.0,-37.8421,144.9978
ID777260803,38 Wellington St,3,h,850000.0,4/03/2017,1.0,1.0,361.0,69.0,-37.7916,144.8673
ID147046787,10 Skewes St,3,h,805000.0,27/11/2016,2.0,2.0,593.0,49.0,-37.7607,144.8581
ID800837874,31 Keam St,4,h,2200000.0,12/11/2016,2.0,2.0,1004.0,84.0,-37.7689,145.0665
ID661161317,39/114 Mason St,2,u,485000.0,16/07/2016,1.0,1.0,0.0,13.0,-37.8413,144.8741
ID568905685,61 Doyle St,3,h,635000.0,26/07/2016,1.0,1.0,597.0,59.0,-37.7568,144.8572
ID169680052,3/30 Edmund St,2,u,495000.0,13/08/2016,1.0,1.0,515.0,49.0,-37.7875,145.0049
ID594482544,2 Bruce St,2,h,2300000.0,22/04/2017,1.0,2.0,465.0,64.0,-37.7424,145.0026
ID470072430,2/27 Horton St,2,t,710000.0,15/07/2017,2.0,1.0,126.0,6.0,-37.72357,144.98561999999995
ID915772023,5/82 Gooch St,2,u,432500.0,27/06/2016,1.0,1.0,748.0,54.0,-37.7587,145.0064
ID784250016,80 Wright St,2,h,615000.0,12/08/2017,1.0,0.0,418.0,79.0,-37.79595,144.83206
ID890168671,1/22 Sycamore Gr,2,u,520000.0,15/10/2016,1.0,0.0,0.0,49.0,-37.8742,144.9972
ID448321422,1/48 Keilor Rd,2,u,340000.0,18/06/2016,1.0,1.0,0.0,59.0,-37.7433,144.9074
ID810800835,1/17 Baker St,2,u,639000.0,19/11/2016,1.0,1.0,83.0,59.0,-37.9355,145.0485
ID652049773,1/24 Suffolk Rd,2,u,830000.0,22/07/2017,1.0,1.0,180.0,20.0,-37.82794000000001,145.09332
ID129495715,371 Rae St,2,h,1270000.0,17/06/2017,1.0,0.0,183.0,129.0,-37.78353,144.97991000000005
ID840312473,3/121 Wellington St,2,u,476000.0,15/10/2016,1.0,1.0,0.0,49.0,-37.783,144.93200000000004
ID914389858,25 Rookwood St,2,h,1900000.0,8/04/2017,1.0,2.0,667.0,64.0,-37.7926,145.0842
ID691150688,409/120 Palmer St,2,u,540000.0,3/09/2016,2.0,1.0,656.0,119.0,-37.8195,145.0103
ID152736367,11 McPhail St,2,h,870000.0,16/07/2016,1.0,2.0,319.0,99.0,-37.7555,144.9118
ID797555277,4/388 Bluff Rd,4,t,1050000.0,23/09/2017,2.0,1.0,173.0,9.0,-37.94723,145.02268
ID282127236,84 Hambleton St,4,h,2860000.0,20/05/2017,3.0,2.0,160.0,119.0,-37.8471,144.9595
ID175826873,2 Buckingham St,3,h,747000.0,16/07/2016,1.0,1.0,246.0,79.0,-37.8012,144.8924
ID906871020,48a Purtell St,3,t,800000.0,7/05/2016,2.0,1.0,353.0,49.0,-37.9262,145.055
ID182503951,1/11 Glengala Rd,3,h,453000.0,17/06/2017,1.0,1.0,305.0,13.0,-37.788740000000004,144.82398999999995
ID942775092,2/4 Manly Ct,2,t,525000.0,27/05/2017,2.0,1.0,143.0,59.0,-37.72037,144.97023000000004
ID471149180,10 Avon St,3,h,980000.0,4/03/2017,1.0,2.0,623.0,69.0,-37.9404,145.046
ID362668166,1 Caroline St,3,h,669000.0,22/07/2017,1.0,1.0,713.0,59.0,-37.98997,145.2254
ID570968352,2 Navarre Ct,3,h,467000.0,24/06/2017,1.0,1.0,565.0,44.0,-37.65702,144.92446999999999
ID552236169,13 Nicholls St,3,h,1700000.0,27/05/2017,2.0,0.0,312.0,99.0,-37.86162,145.03065
ID379083840,5/3 Tahara Rd,3,u,840000.0,8/04/2017,1.0,1.0,1678.0,79.0,-37.8384,145.0178
ID235901079,54 Ardoyne St,3,h,940000.0,6/05/2017,2.0,2.0,572.0,69.0,-37.7966,144.8256
ID577335140,22 The Grand,4,h,1510500.0,27/05/2017,2.0,4.0,251.0,79.0,-37.7839,144.89431000000005
ID506673780,221 Bluff Rd,4,h,1490000.0,26/08/2017,2.0,2.0,503.0,89.0,-37.95685,145.01977
ID805231758,146 Rossmoyne St,3,h,1200000.0,17/09/2016,2.0,1.0,345.0,114.0,-37.7582,145.0094
ID479421647,3/23 Walstab St,3,u,1245000.0,28/05/2016,2.0,1.0,227.0,21.0,-37.9191,145.0074
ID548471728,35 Chandler St,4,h,1400000.0,4/03/2017,2.0,4.0,457.0,39.0,-37.8517,144.8923
ID880773895,5/576 Glenferrie Rd,2,u,418000.0,7/11/2016,1.0,0.0,1056.0,129.0,-37.8261,145.0349
ID420344077,2/26 Mercer Rd,2,u,820000.0,3/09/2017,1.0,1.0,1501.0,119.0,-37.8528,145.02684
ID137197153,107 McFadzean Av,3,h,725000.0,15/07/2017,1.0,2.0,579.0,6.0,-37.70158,144.99655
ID326850053,47 Churchill Wy,3,h,710000.0,19/08/2017,1.0,2.0,837.0,59.0,-37.796820000000004,145.30467
ID313150484,1 Brack Av,3,h,901000.0,23/09/2017,2.0,3.0,738.0,49.0,-37.8227,144.84094
ID833387749,5 Woodlands Av,2,h,1325000.0,16/09/2017,1.0,2.0,422.0,79.0,-37.79938,145.05662
ID254806255,1 Harmer St,4,h,885000.0,26/07/2016,2.0,3.0,936.0,34.0,-37.7021,145.0178
ID961768657,40 Coronet St,2,h,950000.0,10/09/2016,1.0,1.0,193.0,134.0,-37.7861,144.9238
ID680085925,3 Hampshire Rd,4,h,1120000.0,17/06/2017,2.0,2.0,280.0,11.0,-37.79423,145.13696000000004
ID221794613,7 Berberis Pl,4,h,540000.0,12/08/2017,2.0,2.0,650.0,17.0,-37.85954,144.71456
ID671490727,3/21 John St,2,h,655000.0,19/11/2016,1.0,1.0,156.0,44.0,-37.9024,145.1008
ID900624182,6 Wilson Gr,3,h,1602500.0,18/03/2017,1.0,1.0,405.0,89.0,-37.8448,145.071
ID161736980,87 McBryde St,3,h,660000.0,10/12/2016,1.0,2.0,622.0,49.0,-37.7095,144.9757
ID526335668,7/35 Grieve Pde,2,u,458000.0,9/09/2017,1.0,1.0,63.0,44.0,-37.86933,144.81704
ID487938583,65 Clydesdale Rd,3,h,845000.0,3/06/2017,1.0,2.0,589.0,59.0,-37.72207,144.87905
ID999496424,44 Devereaux St,3,h,706000.0,7/11/2016,1.0,0.0,715.0,59.0,-37.7143,144.9092
ID524472263,53 Market St,3,h,1070000.0,6/05/2017,1.0,2.0,363.0,54.0,-37.7445,144.9054
ID235694113,40 Reading Av,3,h,2321000.0,19/08/2017,1.0,2.0,923.0,9.0,-37.80081,145.09319
ID287734092,7/18 Kelso St,2,u,546000.0,8/10/2016,1.0,1.0,0.0,39.0,-37.8282,144.9897
ID845207339,2 Bazentin St,3,h,570000.0,1/07/2017,1.0,0.0,423.0,99.0,-37.77917,144.82223
ID995213091,76 Manning Rd,4,h,2400000.0,27/05/2017,2.0,0.0,589.0,39.0,-37.873909999999995,145.05562
ID960460109,99 Dundas St,3,h,1040000.0,24/09/2016,2.0,1.0,313.0,69.0,-37.7531,145.01
ID295420345,8 Rose St,4,h,2435000.0,6/08/2016,2.0,2.0,795.0,91.0,-37.9166,145.0314
ID619180130,23 Goodenia Cl,3,h,440000.0,8/07/2017,1.0,2.0,570.0,27.0,-37.647690000000004,144.91359
ID706938911,30 Bourchier St,3,h,670000.0,10/12/2016,1.0,4.0,734.0,59.0,-37.7007,144.9378
ID159804156,8/98 Barkly St,3,h,1120000.0,18/03/2017,2.0,2.0,1039.0,13.0,-37.8638,144.982
ID929318550,66 Roseberry St,3,h,1825000.0,17/09/2016,2.0,2.0,431.0,69.0,-37.8269,145.0496
ID386529389,60 Woiwurung Cr,2,t,631000.0,3/09/2017,2.0,1.0,1965.0,19.0,-37.73615,144.97455
ID446234791,131 Sycamore St,3,h,1350000.0,20/05/2017,2.0,1.0,305.0,94.0,-37.8899,145.023
ID630561482,26 Innellan Rd,3,h,1220000.0,28/05/2016,1.0,2.0,735.0,59.0,-37.8943,145.0689
ID123898228,5 Barmah Gra,4,h,715000.0,24/06/2017,2.0,2.0,680.0,8.0,-37.612359999999995,144.90753
ID487849218,384 Buckley St,3,h,1410000.0,15/07/2017,2.0,1.0,585.0,69.0,-37.75374,144.88932
ID461903604,30a Rooding St,2,u,985000.0,7/11/2016,1.0,1.0,611.0,6.0,-37.9039,145.0009
ID567892221,9/11 Smith St,2,u,535000.0,1/07/2017,1.0,1.0,0.0,8.0,-37.79122,144.93175
ID379702980,29 Livingstone St,4,h,1350000.0,3/06/2017,1.0,2.0,587.0,48.0,-37.76737,145.03943999999996
ID201964189,28 Beryl Av,4,h,1450000.0,23/09/2017,2.0,2.0,771.0,49.0,-37.9212,145.09125
ID458138486,5/323 Beach Rd,2,u,600000.0,29/07/2017,1.0,1.0,0.0,59.0,-37.97853,145.0175
ID207352800,16 Reading Cl,3,h,537000.0,15/07/2017,2.0,2.0,640.0,25.0,-37.63799,144.92924
ID970996977,23 Acheron Av,3,h,925000.0,8/07/2017,1.0,2.0,676.0,79.0,-37.72167,145.01706000000001
ID345883884,169 Gillespie Rd,3,h,520000.0,1/07/2017,1.0,2.0,570.0,49.0,-37.73341,144.77161
ID914193232,149 Spring St,2,h,850000.0,17/06/2017,1.0,2.0,494.0,10.0,-37.72596,145.00113000000005
ID405789205,3 Jensen Ct,4,h,1157000.0,12/08/2017,2.0,2.0,752.0,48.0,-37.91212,145.1793
ID367077469,4a Surrey St,3,h,650000.0,28/08/2016,2.0,1.0,266.0,59.0,-37.7271,144.9485
ID918262631,2/4 Carmyle Ct,2,u,411000.0,27/11/2016,1.0,1.0,0.0,24.0,-37.7608,144.863
ID455146881,160 Glenlyon Rd,3,h,825000.0,22/05/2016,1.0,1.0,213.0,99.0,-37.7729,144.9724
ID818686649,171 Mitchell St,4,h,675000.0,28/05/2016,1.0,1.0,595.0,69.0,-37.7817,144.868
ID440104909,4/5 Empire St,2,u,295000.0,15/10/2016,1.0,1.0,0.0,59.0,-37.7903,144.891
ID866856904,2/13 Walker St,2,h,707000.0,8/04/2017,1.0,1.0,646.0,79.0,-37.8949,145.072
ID143374704,3/18 Essex Rd,2,u,770000.0,7/11/2016,1.0,1.0,156.0,59.0,-37.8275,145.0919
ID664173458,2/20 Talmage St,2,t,340000.0,29/07/2017,1.0,1.0,100.0,39.0,-37.77956,144.82519
ID182503951,1/11 Glengala Rd,3,h,453000.0,17/06/2017,1.0,1.0,305.0,13.0,-37.788740000000004,144.82398999999995
ID635871617,1/171 Waiora Rd,3,u,630000.0,27/05/2017,1.0,1.0,277.0,6.0,-37.73426,145.05986000000001
ID289321311,1/1 Perry St,4,t,1105000.0,30/07/2016,2.0,2.0,220.0,4.0,-37.9387,145.0398
ID429859305,5 Charlotte St,2,h,1000000.0,19/11/2016,1.0,2.0,159.0,139.0,-37.7962,144.9887
ID266039028,3/673 Geelong Rd,3,t,430000.0,10/09/2016,1.0,1.0,131.0,99.0,-37.8203,144.8386
ID427515378,18 Belgrave St,3,h,1750000.0,24/06/2017,2.0,0.0,234.0,19.0,-37.82839,145.04086
ID835488464,286 Barkly St,1,h,1200000.0,22/04/2017,1.0,0.0,225.0,7.0,-37.7761,144.9593
ID246824690,1/125 Glen Huntly Rd,2,u,630000.0,15/10/2016,1.0,1.0,0.0,59.0,-37.8828,144.9897
ID800324009,10 Hansen Rd,4,h,950000.0,15/07/2017,2.0,4.0,2033.0,49.0,-37.86669000000001,145.29959
ID529163662,5/60 Farnham St,1,u,345000.0,18/06/2016,1.0,1.0,0.0,49.0,-37.7826,144.9311
ID996865823,10 Haynes St,4,h,1535000.0,22/07/2017,2.0,2.0,719.0,21.0,-37.94999,145.03122
ID617701326,2 McPherson St,2,h,810000.0,28/05/2016,1.0,1.0,370.0,59.0,-37.7489,144.9598
ID299071373,8 Conifer Cl,3,h,660000.0,9/09/2017,1.0,3.0,467.0,34.0,-37.69271,144.891
ID842467133,15 Seaton St,3,h,2152500.0,3/09/2017,2.0,2.0,656.0,89.0,-37.86521,145.07034
ID677790891,5/652 Barkly St,2,u,456000.0,28/05/2016,1.0,1.0,0.0,44.0,-37.7966,144.8716
ID393478637,11A Mortimore St,3,h,1222500.0,4/02/2016,2.0,2.0,299.0,19.0,-37.9272,145.0406
ID982370960,14 Chalmers La,3,h,900000.0,3/12/2016,2.0,2.0,194.0,9.0,-37.8395,144.8787
ID992325362,21 Tait St,3,h,950000.0,14/05/2016,2.0,2.0,281.0,69.0,-37.8431,144.8845
ID603694204,1/170 Barkly St,2,u,509000.0,3/09/2016,1.0,1.0,0.0,29.0,-37.8679,144.9813
ID405873726,4/16 Rosella St,2,u,680000.0,7/05/2016,1.0,2.0,275.0,44.0,-37.8936,145.0725
ID470380728,3/8 Ashted Rd,2,u,636000.0,19/11/2016,1.0,1.0,151.0,49.0,-37.8234,145.1235
ID172485959,105a Victory Rd,3,h,612000.0,22/08/2016,2.0,1.0,212.0,44.0,-37.7181,144.8824
ID596526100,92 Simpson St,2,h,950000.0,6/05/2017,1.0,0.0,94.0,79.0,-37.8167,144.888
ID746119342,6/51 Armadale St,2,u,704000.0,19/11/2016,1.0,1.0,0.0,50.0,-37.8573,145.0186
ID742134944,2/33 Oakleigh Rd,2,t,930000.0,10/12/2016,2.0,1.0,166.0,10.0,-37.8982,145.0488
ID361209423,12 Auburn Gr,3,h,2360000.0,18/03/2017,2.0,0.0,336.0,84.0,-37.8558,145.015
ID713010614,14 Hartland Rd,5,h,1425000.0,24/06/2017,3.0,3.0,842.0,59.0,-37.85841,145.18248
ID875484950,2/49 Hamilton St,2,t,617500.0,10/09/2016,1.0,1.0,237.0,7.0,-37.74,144.8851
ID160838184,506/220 Commercial Rd,3,u,1400000.0,4/06/2016,2.0,2.0,0.0,99.0,-37.847,144.9936
ID815892203,38 Armstrong Dr,5,h,970000.0,12/08/2017,3.0,2.0,725.0,44.0,-37.92739,145.25705
ID953865832,107/10 Stanley St,1,u,430000.0,18/03/2017,1.0,1.0,0.0,119.0,-37.8019,144.9845
ID698682658,28 Kenneth St,4,h,976000.0,18/06/2016,1.0,1.0,701.0,34.0,-37.7786,145.0945
ID315523928,6/20 Johnstone St,2,t,500000.0,16/07/2016,1.0,1.0,0.0,49.0,-37.8693,145.0348
ID893158707,21 Bruce St,3,h,1535000.0,28/08/2016,2.0,2.0,572.0,89.0,-37.9148,145.0404
ID941120112,23 York St,4,h,1035000.0,16/04/2016,1.0,2.0,610.0,69.0,-37.9193,145.0691
ID475135732,213/253 Bridge Rd,1,u,370000.0,8/04/2017,1.0,1.0,3512.0,8.0,-37.8183,144.9979
ID207338359,107A Charles St,3,t,1420000.0,17/06/2017,2.0,2.0,187.0,4.0,-37.84714,144.98927
ID922947792,3/127 Dendy St,2,u,692000.0,26/07/2016,1.0,1.0,74.0,59.0,-37.9207,145.0079
ID629115198,537 Neerim Rd,4,h,1500000.0,4/03/2017,2.0,1.0,650.0,84.0,-37.8918,145.0769
ID848769128,215 Doncaster Rd,3,h,1670000.0,29/04/2017,0.0,0.0,818.0,25.0,-37.7939,145.0866
ID483366604,11 Kerferd St,2,h,941000.0,13/05/2017,1.0,2.0,413.0,29.0,-37.7355,144.9545
ID644951091,5/57 Blyth St,3,u,730000.0,28/05/2016,2.0,1.0,70.0,5.0,-37.868,144.8285
ID283494857,6 McNeilage St,2,h,832500.0,7/05/2016,1.0,2.0,562.0,69.0,-37.8333,144.8868
ID450865352,12/37 Tennyson St,2,u,520000.0,12/08/2017,1.0,1.0,3256.0,49.0,-37.87594,144.98833
ID914978789,2/7 Maitland St,2,u,529500.0,26/07/2016,1.0,1.0,0.0,12.0,-37.8572,145.0423
ID261655818,13 Lobelia Ct,3,h,980000.0,17/06/2017,2.0,2.0,702.0,39.0,-37.97658,145.11887
ID614636844,19 Wolviston Av,4,h,660000.0,8/07/2017,2.0,2.0,724.0,13.0,-37.6869,144.7485
ID653991212,9 Marama St,4,h,1009000.0,12/11/2016,1.0,2.0,590.0,69.0,-37.7197,144.9585
ID123379824,2/287 Liberty Pde,2,t,370000.0,7/05/2016,1.0,1.0,100.0,6.0,-37.7383,145.036
ID288753908,19 Dena Ct,4,h,1860000.0,24/06/2017,3.0,3.0,682.0,24.0,-37.7572,145.15456
ID699695906,2/11 Francesco St,3,t,1030000.0,18/03/2017,2.0,2.0,327.0,9.0,-37.9195,145.0555
ID913173397,109/311 Burwood Rd,1,u,370000.0,28/08/2016,1.0,1.0,0.0,5.0,-37.8222,145.0329
ID669051053,109 Rankins Rd,2,h,1234500.0,13/08/2016,2.0,2.0,169.0,11.0,-37.7922,144.9316
ID344704521,604/353 Napier St,2,u,830000.0,8/07/2017,2.0,1.0,4421.0,8.0,-37.79721,144.98073
ID680124638,8/232 Williamstown Rd,2,u,500000.0,12/08/2017,1.0,1.0,0.0,6.0,-37.813520000000004,144.88311000000004
ID163757091,14 Birk Ct,3,h,525000.0,27/06/2016,2.0,1.0,223.0,19.0,-37.704,144.8984
ID215641042,2/277 Warrigal Rd,2,t,700000.0,27/05/2017,1.0,1.0,148.0,69.0,-37.847429999999996,145.09656999999999
ID192227061,12 Tantani St,3,h,506000.0,15/07/2017,1.0,4.0,578.0,35.0,-38.13743,145.16702
ID443536190,39 Heath St,2,h,900000.0,14/05/2016,1.0,0.0,124.0,119.0,-37.8356,144.9439
ID879466383,16/74 Thomas St,2,t,345000.0,15/07/2017,1.0,1.0,305.0,20.0,-37.6522,145.09261
ID392263930,2/5 Camperdown St,2,u,905000.0,15/10/2016,1.0,2.0,189.0,39.0,-37.9172,145.0072
ID295175469,17 Goodwood Dr,3,h,683000.0,26/08/2017,2.0,2.0,664.0,41.0,-37.724740000000004,144.79545
ID977598227,3/87 Gaffney St,2,u,445000.0,28/05/2016,1.0,1.0,0.0,12.0,-37.7336,144.9597
ID810258585,6/15 Shakespeare Gr,2,u,805000.0,3/06/2017,1.0,1.0,0.0,54.0,-37.82258,145.0193
ID445071307,11 David Av,4,h,1188000.0,9/09/2017,2.0,2.0,612.0,58.0,-37.74375,144.87487
ID853249329,4 Adrian St,3,h,780000.0,22/05/2016,1.0,1.0,710.0,53.0,-37.9324,145.0577
ID367556219,1 Nunan St,4,h,856000.0,3/12/2016,2.0,2.0,136.0,22.0,-37.7601,144.9805
ID719127153,33 Power St,4,h,1700000.0,30/07/2016,1.0,1.0,672.0,84.0,-37.8099,145.0792
ID337144392,1 Tynan St,3,h,1070000.0,18/03/2017,1.0,2.0,585.0,69.0,-37.7358,144.9889
ID568905685,61 Doyle St,3,h,635000.0,26/07/2016,1.0,1.0,597.0,59.0,-37.7568,144.8572
ID226865039,24a Franklin St,3,t,800000.0,28/08/2016,2.0,1.0,0.0,20.0,-37.9374,145.0542
ID954922748,46 Cassels Rd,2,h,860000.0,16/04/2016,1.0,2.0,352.0,119.0,-37.7566,144.9599
ID561572519,76 Saltley St,3,h,790000.0,3/06/2017,2.0,2.0,334.0,16.0,-37.83137,144.86731
ID620010217,8 Carmichael St,3,h,1640000.0,27/05/2017,1.0,2.0,617.0,89.0,-37.77212,145.05813
ID591577904,38 Bent St,2,h,1060000.0,12/08/2017,1.0,1.0,283.0,59.0,-37.76218,144.92886000000001
ID684502028,2 Hope St,3,h,1080000.0,10/12/2016,2.0,1.0,369.0,64.0,-37.7389,144.9821
ID357326712,24 Greenaway Dr,4,h,820000.0,9/09/2017,2.0,2.0,728.0,49.0,-37.88393,145.26225
ID368961516,9 Hibiscus Cl,3,h,482000.0,3/09/2017,2.0,2.0,452.0,27.0,-37.640229999999995,144.91398999999996
ID500992357,173 Cumberland Rd,4,h,723000.0,22/05/2016,1.0,2.0,485.0,59.0,-37.7239,144.9395
ID441444703,25 Bruce St,3,h,690000.0,26/08/2017,1.0,2.0,535.0,89.0,-37.67324,145.03513
ID726742081,1/5 Thistle St,1,h,350000.0,22/04/2017,1.0,1.0,46.0,49.0,-37.7515,144.9125
ID384876141,2 Finch St,3,h,1020000.0,24/06/2017,1.0,2.0,570.0,49.0,-37.87028,144.80749
ID560296469,125 Napier St,2,h,1150000.0,22/04/2017,1.0,1.0,91.0,49.0,-37.836,144.9638
ID705763921,2D Paxton St,4,t,2560000.0,25/02/2017,3.0,2.0,427.0,7.0,-37.8704,145.0503
ID914714356,1/52 Union Rd,2,u,620000.0,19/11/2016,1.0,1.0,96.0,44.0,-37.8305,145.0961
ID125958977,67 Alexandra St,3,h,1326000.0,24/06/2017,1.0,2.0,1020.0,59.0,-37.70821,145.10405
ID672873567,1A Dactyl Rd,3,h,1401500.0,24/06/2017,2.0,4.0,867.0,49.0,-37.94107,145.04217
ID798321493,35 Carlton St,3,h,800000.0,29/07/2017,1.0,2.0,591.0,49.0,-37.78062,144.84803
ID182360047,507/325 Collins St,2,u,733000.0,24/09/2016,2.0,1.0,0.0,54.0,-37.8166,144.9635
ID343080944,16 Sandover Dr,4,h,570000.0,3/09/2017,2.0,2.0,504.0,19.0,-37.61419,144.93448
ID368837372,4/67 Easey St,2,u,535000.0,6/05/2017,1.0,1.0,0.0,49.0,-37.7981,144.9883
ID305582386,248 Montague St,3,h,1650000.0,17/09/2016,2.0,0.0,204.0,129.0,-37.8357,144.9531
ID652691548,5 Nicosia Ct,3,h,1070000.0,8/04/2017,2.0,5.0,442.0,16.0,-37.8538,144.8722
ID580051849,3/1 Corhampton Rd,2,h,685000.0,22/05/2016,1.0,1.0,177.0,44.0,-37.7935,145.0679
ID794438657,50 Wilson St,4,h,1211000.0,10/09/2016,1.0,3.0,477.0,109.0,-37.7632,144.9292
ID930018138,4/27 Clyde St,3,t,770000.0,19/11/2016,2.0,2.0,224.0,4.0,-37.8424,144.8653
ID203745161,4/13 Alexander St,1,u,457000.0,13/08/2016,1.0,1.0,406.0,49.0,-37.796,144.9911
ID312859696,203/964 Mt Alexander Rd,1,u,325000.0,8/04/2017,1.0,1.0,0.0,54.0,-37.7537,144.917
ID551356033,9/5 Rothwell St,2,u,467000.0,3/12/2016,1.0,1.0,0.0,39.0,-37.7761,144.9201
ID138607903,2/21 Hodder St,4,t,1367000.0,26/07/2016,2.0,2.0,315.0,19.0,-37.9078,145.0222
ID748843461,16/62 Cunningham St,1,u,422000.0,19/11/2016,1.0,1.0,0.0,49.0,-37.7827,144.9999
ID909360513,25 Faversham Rd,4,h,2510000.0,13/05/2017,3.0,2.0,789.0,99.0,-37.8214,145.0843
ID430923214,1/3 Boldrewood Pde,3,h,500000.0,8/10/2016,1.0,1.0,320.0,15.0,-37.7248,145.023
ID833974598,42 Graham Rd,4,h,1010000.0,3/12/2016,3.0,2.0,669.0,59.0,-37.7419,145.083
ID266039028,3/673 Geelong Rd,3,t,430000.0,10/09/2016,1.0,1.0,131.0,99.0,-37.8203,144.8386
ID991648000,155 Chambers Rd,4,h,760000.0,27/06/2016,1.0,3.0,668.0,59.0,-37.8262,144.8439
ID918868449,9 Sargood St,2,h,642000.0,27/06/2016,1.0,0.0,167.0,79.0,-37.7477,144.9647
ID930804896,20 McGuinness Rd,4,h,1150000.0,22/08/2016,2.0,2.0,639.0,13.0,-37.9258,145.075
ID876566087,18a Creswell Av,3,u,700000.0,12/08/2017,2.0,1.0,239.0,139.0,-37.733509999999995,144.88748999999999
